trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.23888263464565077, 'e': 0.7550932412115529}",25,0,-103.18394484998831,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
145,False,"{'a': 0.23721629519542095, 'e': 0.7518057291408949}",25,11,-37.0877012644821,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
146,False,"{'a': 0.2355615793911187, 'e': 0.7484994219661651}",25,0,-63.52651881236642,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
147,False,"{'a': 0.23391840615133871, 'e': 0.7451744023448704}",25,0,-101.74617795632246,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
148,False,"{'a': 0.23228669496026338, 'e': 0.7418307534023282}",35,0,-119.43245289238936,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
149,False,"{'a': 0.23066636586371783, 'e': 0.7384685587295879}",25,0,-105.87879551429927,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
150,False,"{'a': 0.2290573394652522, 'e': 0.7350879023813413}",30,0,-136.85081280133585,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
151,False,"{'a': 0.22745953692225096, 'e': 0.7316888688738209}",25,2,-129.09833256749096,"{0: 11, 1: 6, 2: 3, 3: 2, 4: 1}",1
152,False,"{'a': 0.22587287994206992, 'e': 0.7282715431826874}",20,0,-44.86988338363277,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
153,False,"{'a': 0.22429729077819943, 'e': 0.7248360107409052}",30,0,-51.65817864191668,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
154,False,"{'a': 0.2227326922264554, 'e': 0.7213823574366063}",20,10,-39.0754932747779,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.22117900762119552, 'e': 0.7179106696109434}",25,0,-68.47139665733445,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.21963616083156348, 'e': 0.7144210340559313}",25,6,-62.57116914471295,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
157,False,"{'a': 0.21810407625775774, 'e': 0.7109135380122773}",20,8,-40.139789686818226,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
158,False,"{'a': 0.2165826788273277, 'e': 0.7073882691671998}",25,5,-80.16689762079551,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
159,False,"{'a': 0.21507189399149484, 'e': 0.7038453156522361}",25,5,-69.2951713658519,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
160,False,"{'a': 0.2135716477215, 'e': 0.7002847660410396}",20,0,-10.96203520859373,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.21208186650497565, 'e': 0.6967067093471654}",20,16,8.691933046144019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.21060247734234422, 'e': 0.6931112350218442}",20,0,-31.42681627317637,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
163,False,"{'a': 0.2091334077432406, 'e': 0.689498432951747}",25,0,-105.23116440654209,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
164,False,"{'a': 0.20767458572296063, 'e': 0.6858683934567373}",20,8,-12.850505488486757,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.20622593979893333, 'e': 0.6822212072876135}",25,0,-26.03331354618835,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.20478739898721865, 'e': 0.6785569656238398}",25,0,-58.415213662672166,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
167,False,"{'a': 0.203358892799029, 'e': 0.674875760071267}",20,3,-31.014614733430243,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
168,False,"{'a': 0.20194035123727522, 'e': 0.6711776826598423}",20,13,10.463857962194144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2005317047931371, 'e': 0.6674628258413081}",20,7,-36.617558081816924,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.1991328844426569, 'e': 0.6637312824868916}",20,0,-45.01180057571474,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
